KeyValuePair`2;KeyValuePair`2.Key;KeyValuePair`2.Value
"[Microsoft.AspNetCore.Connections.Features.IPersistentStateFeature, Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http.Http1Connection`1[Microsoft.AspNetCore.Hosting.HostingApplication+Context]]";Microsoft.AspNetCore.Connections.Features.IPersistentStateFeature;[...]
"[Microsoft.AspNetCore.Http.Features.IBadRequestExceptionFeature, Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http.Http1Connection`1[Microsoft.AspNetCore.Hosting.HostingApplication+Context]]";Microsoft.AspNetCore.Http.Features.IBadRequestExceptionFeature;[...]
"[Microsoft.AspNetCore.Http.Features.IEndpointFeature, Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http.Http1Connection`1[Microsoft.AspNetCore.Hosting.HostingApplication+Context]]";Microsoft.AspNetCore.Http.Features.IEndpointFeature;[...]
"[Microsoft.AspNetCore.Http.Features.IHttpBodyControlFeature, Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http.Http1Connection`1[Microsoft.AspNetCore.Hosting.HostingApplication+Context]]";Microsoft.AspNetCore.Http.Features.IHttpBodyControlFeature;[...]
"[Microsoft.AspNetCore.Http.Features.IHttpConnectionFeature, Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http.Http1Connection`1[Microsoft.AspNetCore.Hosting.HostingApplication+Context]]";Microsoft.AspNetCore.Http.Features.IHttpConnectionFeature;[...]
"[Microsoft.AspNetCore.Http.Features.IHttpExtendedConnectFeature, Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http.Http1Connection`1[Microsoft.AspNetCore.Hosting.HostingApplication+Context]]";Microsoft.AspNetCore.Http.Features.IHttpExtendedConnectFeature;[...]
"[Microsoft.AspNetCore.Http.Features.IHttpMaxRequestBodySizeFeature, Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http.Http1Connection`1[Microsoft.AspNetCore.Hosting.HostingApplication+Context]]";Microsoft.AspNetCore.Http.Features.IHttpMaxRequestBodySizeFeature;[...]
"[Microsoft.AspNetCore.Http.Features.IHttpRequestBodyDetectionFeature, Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http.Http1Connection`1[Microsoft.AspNetCore.Hosting.HostingApplication+Context]]";Microsoft.AspNetCore.Http.Features.IHttpRequestBodyDetectionFeature;[...]
"[Microsoft.AspNetCore.Http.Features.IHttpRequestFeature, Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http.Http1Connection`1[Microsoft.AspNetCore.Hosting.HostingApplication+Context]]";Microsoft.AspNetCore.Http.Features.IHttpRequestFeature;[...]
"[Microsoft.AspNetCore.Http.Features.IHttpRequestIdentifierFeature, Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http.Http1Connection`1[Microsoft.AspNetCore.Hosting.HostingApplication+Context]]";Microsoft.AspNetCore.Http.Features.IHttpRequestIdentifierFeature;[...]
