ServiceDescriptor;ServiceDescriptor._implementationType;ServiceDescriptor._implementationInstance;ServiceDescriptor._implementationFactory;ServiceDescriptor.Lifetime;ServiceDescriptor.ServiceKey;ServiceDescriptor.ServiceType;ServiceDescriptor.ImplementationType;ServiceDescriptor.KeyedImplementationType;ServiceDescriptor.ImplementationInstance;ServiceDescriptor.KeyedImplementationInstance;ServiceDescriptor.ImplementationFactory;ServiceDescriptor.KeyedImplementationFactory;ServiceDescriptor.IsKeyedService
"ServiceType: Microsoft.AspNetCore.Antiforgery.IAntiforgery Lifetime: Singleton ImplementationType: Microsoft.AspNetCore.Antiforgery.DefaultAntiforgery";Microsoft.AspNetCore.Antiforgery.DefaultAntiforgery;"";"";Singleton;"";Microsoft.AspNetCore.Antiforgery.IAntiforgery;Microsoft.AspNetCore.Antiforgery.DefaultAntiforgery;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Antiforgery.IAntiforgeryAdditionalDataProvider Lifetime: Singleton ImplementationType: Microsoft.AspNetCore.Antiforgery.DefaultAntiforgeryAdditionalDataProvider";Microsoft.AspNetCore.Antiforgery.DefaultAntiforgeryAdditionalDataProvider;"";"";Singleton;"";Microsoft.AspNetCore.Antiforgery.IAntiforgeryAdditionalDataProvider;Microsoft.AspNetCore.Antiforgery.DefaultAntiforgeryAdditionalDataProvider;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Antiforgery.IAntiforgeryTokenGenerator Lifetime: Singleton ImplementationType: Microsoft.AspNetCore.Antiforgery.DefaultAntiforgeryTokenGenerator";Microsoft.AspNetCore.Antiforgery.DefaultAntiforgeryTokenGenerator;"";"";Singleton;"";Microsoft.AspNetCore.Antiforgery.IAntiforgeryTokenGenerator;Microsoft.AspNetCore.Antiforgery.DefaultAntiforgeryTokenGenerator;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Antiforgery.IAntiforgeryTokenSerializer Lifetime: Singleton ImplementationType: Microsoft.AspNetCore.Antiforgery.DefaultAntiforgeryTokenSerializer";Microsoft.AspNetCore.Antiforgery.DefaultAntiforgeryTokenSerializer;"";"";Singleton;"";Microsoft.AspNetCore.Antiforgery.IAntiforgeryTokenSerializer;Microsoft.AspNetCore.Antiforgery.DefaultAntiforgeryTokenSerializer;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Antiforgery.IAntiforgeryTokenStore Lifetime: Singleton ImplementationType: Microsoft.AspNetCore.Antiforgery.DefaultAntiforgeryTokenStore";Microsoft.AspNetCore.Antiforgery.DefaultAntiforgeryTokenStore;"";"";Singleton;"";Microsoft.AspNetCore.Antiforgery.IAntiforgeryTokenStore;Microsoft.AspNetCore.Antiforgery.DefaultAntiforgeryTokenStore;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Antiforgery.IClaimUidExtractor Lifetime: Singleton ImplementationType: Microsoft.AspNetCore.Antiforgery.DefaultClaimUidExtractor";Microsoft.AspNetCore.Antiforgery.DefaultClaimUidExtractor;"";"";Singleton;"";Microsoft.AspNetCore.Antiforgery.IClaimUidExtractor;Microsoft.AspNetCore.Antiforgery.DefaultClaimUidExtractor;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Authentication.IAuthenticationHandlerProvider Lifetime: Scoped ImplementationType: Microsoft.AspNetCore.Authentication.AuthenticationHandlerProvider";Microsoft.AspNetCore.Authentication.AuthenticationHandlerProvider;"";"";Scoped;"";Microsoft.AspNetCore.Authentication.IAuthenticationHandlerProvider;Microsoft.AspNetCore.Authentication.AuthenticationHandlerProvider;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Authentication.IAuthenticationSchemeProvider Lifetime: Singleton ImplementationType: Microsoft.AspNetCore.Authentication.AuthenticationSchemeProvider";Microsoft.AspNetCore.Authentication.AuthenticationSchemeProvider;"";"";Singleton;"";Microsoft.AspNetCore.Authentication.IAuthenticationSchemeProvider;Microsoft.AspNetCore.Authentication.AuthenticationSchemeProvider;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Authentication.IAuthenticationService Lifetime: Scoped ImplementationType: Microsoft.AspNetCore.Authentication.AuthenticationService";Microsoft.AspNetCore.Authentication.AuthenticationService;"";"";Scoped;"";Microsoft.AspNetCore.Authentication.IAuthenticationService;Microsoft.AspNetCore.Authentication.AuthenticationService;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Authentication.IClaimsTransformation Lifetime: Singleton ImplementationType: Microsoft.AspNetCore.Authentication.NoopClaimsTransformation";Microsoft.AspNetCore.Authentication.NoopClaimsTransformation;"";"";Singleton;"";Microsoft.AspNetCore.Authentication.IClaimsTransformation;Microsoft.AspNetCore.Authentication.NoopClaimsTransformation;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
